Platform,Title,DateApplied,Status,URL
TCS,Senior Data Scientist with Python Experience,240908,Applied,https://ibegin.tcs.com/iBegin/jobs/325198J
Joby,Network Administrator,240908,Applied,https://careers-jobyaviation.icims.com/jobs/3393/network-administrator/
